Name,FileID,linkraw
Windows 11 HSL Full 25h2.wim,1ieMX18xA2Z4cFfDS_dya_3NnMW3oIplY,https://huggingface.co/datasets/tuantran1991/windows/resolve/main/W11hsl_full.wim
Windows 11 Pro Full 25h2.wim,1EvSYDDdAtppRO4MjCh7Q0cmaGCEviQPo,https://huggingface.co/datasets/tuantran1991/windows/resolve/main/Win11Pro_full.wim
